,0
a6ac680f21b5f94cac1c5a9226bbaaa3,235.0
4c9e94009d8bc575869b067df2765577,234.0
7dffe2132dec3a0cc832b24daec41c1e,234.0
a57a4223e1ecef6b805fc30e207ef5f2,234.0
5cd37e05111717fc8bbb6b94769a58f0,234.0
cca0eab0e34bdd6df5b77dcbcdce88a2,233.0
140cc9aaf07b05fafa031b93533c44ed,229.0
f9f6721808b7d6301d454a8bac71a033,227.0
19c8643ae0215cd6647a6482dafc05c2,226.0
856c2f52e9359dd3b4ee1dbe2819ccf6,223.0
cf51c99072f64bfe02b8c09207de2d93,221.0
ffa31a3700f9548aa83f7acaa113d1e8,219.0
69f38f9e79867a0a88b172de2543b59d,217.0
13ce8f9b71715243d7713c27266a672f,216.0
5297a140c220034cb0454bb4fb37ff06,213.0
de94cf382e6b174d1d8a7d600883a5ae,212.0
9352af09312269653c78f16829971044,211.0
6376ea6dab7d0fde3cd66f53b57e1484,210.0
36697f10a2782e804cde1f52f40a85cd,209.0
359770b93673e10df347f0b09b114ad6,209.0
a2c180bef96af0003a554e8ed56aa90b,205.0
a1a7dde83a081698cb384f31a3387577,205.0
dab1160ee7a4ecf9945086ff09f99528,204.0
ed77f975db76986ff995a416d5ae288a,203.0
c5a2c0fe73098233684767832dc61a65,203.0
57cb542c918c06831e9b1faa9f13c04f,203.0
98d76caeb4ca80bf19443f1c4f577b4a,203.0
3b2b0d1325debb93c475a0abfd7cfe14,203.0
b7e0399de045c60d1fb5aaf671c12c44,202.0
1af52037539011f3150c8d5df2db420d,202.0
e50ba3036798c1524b1aa39ae3b29b0f,200.0
52805c7e2fd614447de3478787a47ce0,200.0
21219a8b06f8a0b9912c28f8d8a609f4,196.0
44b067296f57b022de48ef19b9e0a82e,190.0
64d01b8787e0a6faa051acea8f4b2307,190.0
aa497172808d5b53eafe60c9be1a9d4d,190.0
7390ee520df787315776a3a5135fd8b1,189.0
126a7e75d1f39ad1eab539ed1480add6,188.0
fddbe07fdf27cb54b9440cc3bfa0d95d,188.0
